ID_DESTINO|TIPO_DESTINO|FECHA_LLAMADA|TOTAL_MINUTOS|TOTAL_LLAMADAS
2|MOVIL-VOZ|01/12/23|3935079|1854818
1122|MOVIL-SMS|01/12/23|17|5
1011|MOVIL-SMS|01/12/23|18|11
1011|FIJO-VOZ|01/12/23|18|11
1002|MOVIL-VOZ|01/12/23|867|463
1002|MOVIL-SMS|01/12/23|867|463
1001|MOVIL-SMS|01/12/23|45540|24303
1001|MOVIL-SMS|01/12/23|45540|24303
1001|MOVIL-SMS|01/12/23|45540|24303
999|FIJO-VOZ|01/12/23|532101|227208
999|FIJO-VOZ|01/12/23|532101|227208
999|FIJO-VOZ|01/12/23|532101|227208
999|FIJO-VOZ|01/12/23|532101|227208
999|FIJO-VOZ|01/12/23|532101|227208
999|FIJO-VOZ|01/12/23|532101|227208
999|FIJO-VOZ|01/12/23|532101|227208
999|FIJO-VOZ|01/12/23|532101|227208
999|FIJO-VOZ|01/12/23|532101|227208
999|FIJO-VOZ|01/12/23|532101|227208
999|FIJO-VOZ|01/12/23|532101|227208
494|MOVIL-VOZ|01/12/23|350698|176800
494|MOVIL-VOZ|01/12/23|350698|176800
123|MOVIL-VOZ|01/12/23|1771|335
1049|MOVIL-VOZ|01/12/23|21666|9314
1059|MOVIL-VOZ|01/12/23|106618|46780
1060|MOVIL-VOZ|01/12/23|12118|5412
1061|MOVIL-SMS|01/12/23|433|125
1067|MOVIL-SMS|01/12/23|4|1
1067|MOVIL-SMS|01/12/23|4|1
1101|MOVIL-SMS|01/12/23|197|102
1101|MOVIL-SMS|01/12/23|197|102
1113|MOVIL-SMS|01/12/23|8|4
1115|MOVIL-SMS|01/12/23|4959|1410
1115|MOVIL-SMS|01/12/23|4959|1410
1022|MOVIL-VOZ|01/12/23|35008|13282
2|MOVIL-VOZ|02/12/23|2406766|1179340
1115|MOVIL-SMS|02/12/23|2607|1013
494|MOVIL-VOZ|02/12/23|241056|126339
494|MOVIL-VOZ|02/12/23|241056|126339
999|FIJO-VOZ|02/12/23|334223|151100
999|FIJO-VOZ|02/12/23|334223|151100
999|FIJO-VOZ|02/12/23|334223|151100
999|FIJO-VOZ|02/12/23|334223|151100
999|FIJO-VOZ|02/12/23|334223|151100
999|FIJO-VOZ|02/12/23|334223|151100
999|FIJO-VOZ|02/12/23|334223|151100
999|FIJO-VOZ|02/12/23|334223|151100
999|FIJO-VOZ|02/12/23|334223|151100
999|FIJO-VOZ|02/12/23|334223|151100
999|FIJO-VOZ|02/12/23|334223|151100
1001|MOVIL-SMS|02/12/23|39685|21077
1001|MOVIL-SMS|02/12/23|39685|21077
1001|MOVIL-SMS|02/12/23|39685|21077
1002|MOVIL-SMS|02/12/23|762|419
1002|MOVIL-VOZ|02/12/23|762|419
1011|FIJO-VOZ|02/12/23|3|3
1011|MOVIL-SMS|02/12/23|3|3
1022|MOVIL-VOZ|02/12/23|18786|8163
1049|MOVIL-VOZ|02/12/23|14888|6807
1059|MOVIL-VOZ|02/12/23|66370|30080
1060|MOVIL-VOZ|02/12/23|7799|3882
1061|MOVIL-SMS|02/12/23|169|77
1101|MOVIL-SMS|02/12/23|167|86
1101|MOVIL-SMS|02/12/23|167|86
1115|MOVIL-SMS|02/12/23|2607|1013
123|MOVIL-VOZ|02/12/23|647|179
2|MOVIL-VOZ|03/12/23|1171992|465256
1122|MOVIL-SMS|03/12/23|2|1
494|MOVIL-VOZ|03/12/23|102164|42430
494|MOVIL-VOZ|03/12/23|102164|42430
999|FIJO-VOZ|03/12/23|174837|66338
999|FIJO-VOZ|03/12/23|174837|66338
999|FIJO-VOZ|03/12/23|174837|66338
999|FIJO-VOZ|03/12/23|174837|66338
999|FIJO-VOZ|03/12/23|174837|66338
999|FIJO-VOZ|03/12/23|174837|66338
999|FIJO-VOZ|03/12/23|174837|66338
999|FIJO-VOZ|03/12/23|174837|66338
999|FIJO-VOZ|03/12/23|174837|66338
999|FIJO-VOZ|03/12/23|174837|66338
999|FIJO-VOZ|03/12/23|174837|66338
1001|MOVIL-SMS|03/12/23|28175|15121
1001|MOVIL-SMS|03/12/23|28175|15121
1001|MOVIL-SMS|03/12/23|28175|15121
1002|MOVIL-SMS|03/12/23|453|242
1002|MOVIL-VOZ|03/12/23|453|242
1011|FIJO-VOZ|03/12/23|1|1
1011|MOVIL-SMS|03/12/23|1|1
1022|MOVIL-VOZ|03/12/23|9262|3478
1049|MOVIL-VOZ|03/12/23|8318|3090
1059|MOVIL-VOZ|03/12/23|33470|12551
1060|MOVIL-VOZ|03/12/23|4397|1450
1061|MOVIL-SMS|03/12/23|124|44
1101|MOVIL-SMS|03/12/23|136|39
1101|MOVIL-SMS|03/12/23|136|39
1115|MOVIL-SMS|03/12/23|1052|465
1115|MOVIL-SMS|03/12/23|1052|465
123|MOVIL-VOZ|03/12/23|222|64
2|MOVIL-VOZ|04/12/23|4144945|1929866
1122|MOVIL-SMS|04/12/23|37|9
494|MOVIL-VOZ|04/12/23|347168|166582
494|MOVIL-VOZ|04/12/23|347168|166582
999|FIJO-VOZ|04/12/23|571554|239860
999|FIJO-VOZ|04/12/23|571554|239860
999|FIJO-VOZ|04/12/23|571554|239860
999|FIJO-VOZ|04/12/23|571554|239860
999|FIJO-VOZ|04/12/23|571554|239860
999|FIJO-VOZ|04/12/23|571554|239860
999|FIJO-VOZ|04/12/23|571554|239860
999|FIJO-VOZ|04/12/23|571554|239860
999|FIJO-VOZ|04/12/23|571554|239860
999|FIJO-VOZ|04/12/23|571554|239860
999|FIJO-VOZ|04/12/23|571554|239860
1001|MOVIL-SMS|04/12/23|47757|25471
1001|MOVIL-SMS|04/12/23|47757|25471
1001|MOVIL-SMS|04/12/23|47757|25471
1002|MOVIL-SMS|04/12/23|938|534
1002|MOVIL-VOZ|04/12/23|938|534
1011|FIJO-VOZ|04/12/23|9|7
1011|MOVIL-SMS|04/12/23|9|7
1022|MOVIL-VOZ|04/12/23|35479|14058
1049|MOVIL-VOZ|04/12/23|23498|10381
1059|MOVIL-VOZ|04/12/23|115841|51331
1060|MOVIL-VOZ|04/12/23|13889|5968
1061|MOVIL-SMS|04/12/23|373|107
1067|MOVIL-SMS|04/12/23|2|1
1067|MOVIL-SMS|04/12/23|2|1
1101|MOVIL-SMS|04/12/23|364|144
1101|MOVIL-SMS|04/12/23|364|144
1115|MOVIL-SMS|04/12/23|6142|1618
1115|MOVIL-SMS|04/12/23|6142|1618
